Time,Value
120.9,4.677665234
121,4.489517212
121.1,4.300028086
121.2,4.108893871
121.3,3.916186094
121.4,3.726661205
121.5,3.536179662
121.6,3.347298503
121.7,3.157791495
121.8,2.968087792
121.9,2.774691582
122,2.58423686
122.1,2.393737435
122.2,2.205196023
122.3,2.014052868
122.4,1.823294163
122.5,1.631596684
122.6,1.44058764
122.7,1.251322031
122.8,1.061922312
122.9,0.868839025
123,0.677588582
123.1,0.487393141
123.2,0.297814608
123.3,0.107181072
123.4,-0.083944201
123.5,-0.275176764
123.6,-0.464451313
123.7,-0.652903318
123.8,-0.843670964
123.9,-1.034644246
124,-1.227137446
124.1,-1.417046785
124.2,-1.60561502
124.3,-1.795238256
124.4,-1.987865567
124.5,-2.181020379
124.6,-2.369865775
124.7,-2.560794353
124.8,-2.749085426
124.9,-2.935615182
125,-3.126659989
125.1,-3.318187594
125.2,-3.509026766
125.3,-3.696736693
125.4,-3.887477517
125.5,-4.079210758
125.6,-4.270470142
125.7,-4.458296299
125.8,-4.646086693
125.9,-4.836201668
126,-5.025914311
126.1,-5.216395855
126.2,-5.406662822
126.3,-5.594667792
126.4,-5.782163143
126.5,-5.973181129
126.6,-6.162437797
126.7,-6.352847815
126.8,-6.541925669
126.9,-6.728938222
127,-6.918123364
127.1,-7.106262445
127.2,-7.295152545
127.3,-7.483157516
127.4,-7.673254609
127.5,-7.86202848
127.6,-8.049380779
127.7,-8.238083124
127.8,-8.425220847
127.9,-8.612814546
128,-8.798906207
128.1,-8.987599611
128.2,-9.176293015
128.3,-9.364503622
128.4,-9.550112486
128.5,-9.736445546
128.6,-9.92282331
128.7,-10.11119485
128.8,-10.29902101
128.9,-10.48486233
129,-10.67052484
129.1,-10.85712612
129.2,-11.0424757
129.3,-11.23104393
129.4,-11.41550839
129.5,-11.60084903
129.6,-11.7872715
129.7,-11.9733721
129.8,-12.15913296
129.9,-12.34359741
130,-12.52934039
130.1,-12.71260679
130.2,-12.89950311
130.3,-13.08491528
130.4,-13.26928139
130.5,-13.45351338
130.6,-13.63674402
130.7,-13.82140517
130.8,-14.00576234
130.9,-14.18991387
131,-14.37237561
131.1,-14.55645561
131.2,-14.73874748
131.3,-14.92262185
131.4,-15.10672867
131.5,-15.29009342
131.6,-15.47137499
131.7,-15.65137804
131.8,-15.83302617
131.9,-16.01759791
132,-16.19954109
132.1,-16.38045609
132.2,-16.56152308
132.3,-16.74277782
132.4,-16.92402363
132.5,-17.10509956
132.6,-17.28643477
132.7,-17.46521294
132.8,-17.6477015
132.9,-17.82897413
133,-18.00701022
133.1,-18.18613708
133.2,-18.3655411
133.3,-18.54412258
133.4,-18.72509122
133.5,-18.90440583
133.6,-19.08185184
133.7,-19.26036179
133.8,-19.43930089
133.9,-19.61695254
134,-19.79657114
134.1,-19.97238994
134.2,-20.14811933
134.3,-20.32513618
134.4,-20.50336003
134.5,-20.68049312
134.6,-20.85634768
134.7,-21.03274763
134.8,-21.2076813
134.9,-21.3848412
135,-21.56072259
135.1,-21.73563838
135.2,-21.90942764
135.3,-22.08464742
135.4,-22.25798965
135.5,-22.43418396
135.6,-22.60831296
135.7,-22.78091311
135.8,-22.95375466
135.9,-23.12634587
136,-23.30167294
136.1,-23.47371876
136.2,-23.64553213
136.3,-23.81848991
136.4,-23.98887277
136.5,-24.15962219
136.6,-24.33211505
136.7,-24.50296283
136.8,-24.67500865
136.9,-24.8447746
137,-25.01630187
137.1,-25.18673837
137.2,-25.35691559
137.3,-25.52392781
137.4,-25.6932199
137.5,-25.8613497
137.6,-26.03080273
137.7,-26.2003094
137.8,-26.36947632
137.9,-26.53313577
